,Гадяцький,,,Зіньківський,,,Золотоніський,,,Кобеляцький,,,Костянтиноградський,,,Кременчуцький,,,Лохвицький,,,Лубенський,,,Миргородський,,,Переяславський,,,Полтавський,,,Прилуцький,,,Пирятинський,,,Роменський,,,Хорольський,,,Губернія загалом,,
,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.
1835,-91,-217,-308,135,-49,86,39,-97,-58,170,117,287,874,659,1533,174,123,297,51,-180,-129,-33,-202,-235,62,-85,-23,-154,-318,-472,524,370,894,84,-82,2,-177,-212,-389,588,410,998,213,45,258,2459,282,2741
1836,233,277,510,411,380,791,1190,971,2161,608,464,1072,1469,1322,2791,932,888,1820,424,406,830,363,493,856,613,447,1060,1046,939,1985,1101,894,1995,693,668,1361,486,584,1070,1001,624,1625,995,914,1909,11565,10271,21836
1837,438,330,768,210,189,399,1270,1289,2559,871,637,1508,1006,982,1988,1056,844,1900,594,396,990,729,640,1369,151,-75,76,755,627,1382,611,490,1101,915,845,1760,882,741,1623,905,794,1699,547,530,1077,10940,9259,20199
1838,404,450,854,131,3,134,352,81,433,1197,1053,2250,1345,1038,2383,648,690,1338,107,21,128,197,48,245,198,116,314,579,353,932,481,654,1135,196,-81,115,196,33,229,398,411,809,546,410,956,6975,5280,12255
1839,842,705,1547,620,484,1104,981,608,1589,1094,794,1888,1544,1283,2827,1438,1276,2714,787,426,1213,693,628,1321,988,890,1878,687,589,1276,1166,1007,2173,706,514,1220,803,625,1428,795,667,1462,1406,1125,2531,14550,11621,26171
1840,47,-98,-51,109,47,156,312,155,467,606,706,1312,394,236,630,322,225,547,38,150,188,149,76,225,-21,-96,-117,311,229,540,323,345,668,195,66,261,39,-26,13,234,238,472,202,124,326,3260,2377,5637
1841,590,242,832,599,451,1050,928,742,1670,1262,1224,2486,1049,798,1847,808,712,1520,524,377,901,513,291,804,277,278,555,399,331,730,939,822,1761,545,510,1055,570,524,1094,982,892,1874,532,1228,1760,10514,9422,19936
1842,-21,-326,-347,-936,-1048,-1984,-434,-733,-1167,-62,-91,-153,-672,-935,-1607,-79,-298,-377,135,165,300,-180,-191,-371,-643,-783,-1426,354,108,462,-468,-694,-1162,599,469,1068,10,-92,-82,387,480,867,-1270,1508,238,-3500,-5478,-8978
1843,1104,985,2089,1028,749,1777,1774,1573,3347,1621,1420,3041,1511,1492,3003,1529,1375,2904,892,840,1732,1098,956,2054,1285,1117,2402,1500,1433,2933,1627,1601,3228,1479,1376,2855,1250,1074,2324,1605,1295,2900,1287,1066,2353,20600,18352,38952
1844,1092,889,1981,901,891,1792,1602,1444,3046,1137,1043,2180,1413,1242,2655,1278,1193,2471,985,723,1708,988,883,1871,1195,1010,2205,1079,945,2024,1307,1353,2660,819,880,1699,865,752,1617,1417,1119,2536,1471,1235,2706,17459,15702,33161
1845,489,383,872,561,505,1066,578,609,1187,1232,1134,2366,943,791,1734,861,908,1769,381,588,969,245,223,468,669,577,1246,464,485,949,685,861,1546,188,283,471,405,413,818,654,638,1292,903,618,1521,9258,9014,18272
1846,458,282,740,579,624,1203,943,640,1583,1182,1074,2256,1260,994,2254,897,795,1692,-53,95,42,560,468,1028,542,447,989,745,564,1309,1188,1088,2276,803,609,1412,827,854,1681,504,512,1016,478,300,778,1091,9346,10437
1847,902,930,1832,693,930,1623,1221,1163,2384,1115,942,2057,1423,1292,2715,1048,979,2027,799,757,1556,719,641,1360,915,848,1763,397,623,1020,1327,1186,2513,649,308,957,584,424,1008,1032,939,1971,1252,1259,2511,14076,13221,27297
1848,-78,-378,-456,-416,-835,-1251,-1973,-2511,-4484,-549,-766,-1315,-1372,-1641,-3013,-940,-1280,-2220,-1101,-1366,-2467,-1307,-1585,-2892,-1374,-1687,-3061,-2402,-2798,-5200,-982,875,-107,-1198,-1352,-2550,-1240,-1350,-2590,-645,-913,-1558,-1190,-1274,-2464,-16767,-20611,-37378
1849,512,540,1052,240,96,336,927,1011,1938,-1017,-1270,-2287,-2183,-2323,-4506,-842,-1295,-2137,502,481,983,500,450,950,116,118,234,879,785,1664,-624,1007,383,753,668,1421,546,705,1251,959,617,1576,-333,-656,-989,935,-1318,-383
1850,912,721,1633,655,533,1188,976,953,1929,1024,885,1909,1135,1116,2251,1184,1111,2295,533,449,982,434,414,848,1042,853,1895,345,335,680,1060,1325,2385,96,21,117,344,386,730,1014,769,1783,914,990,1904,11668,10959,22627
Разом,7833,5715,13548,5520,3950,9470,10686,7898,18584,11491,9366,20857,11139,8446,19585,10324,8246,18570,5508,4328,9836,5678,4233,9911,6015,3759,9774,6982,5224,12206,10265,9419,19684,7319,5702,13021,6390,5435,11825,11830,9592,21422,7953,6406,14359,124903,97699,222602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,