Повіт,Число дворів,Число душ обох статей,Населеність
Гадяцький,12215,92661,7.585837086
Зіньківський,12499,94898,7.592447396
Золотоніський,16210,138306,8.532140654
Кобеляцький,13373,120110,8.981529948
Констянтиноградський,13737,108897,7.927276698
Кременчуцький,12914,121568,9.413659594
Лохвицький,12840,105557,8.220950156
Лубенський,9162,81279,8.871316306
Миргородський,15048,103226,6.859782031
Переслявський,11829,113459,9.591596923
Полтавський,13090,128218,9.795110772
Прилуцький,14312,123897,8.656861375
Пирятинський,11890,102194,8.594953743
Роменський,16075,128603,8.000186625
Хорольський,13891,102279,7.362968829
В усіх повітах разом,199085,1554597,7.808709848
,,,
Назва: Расчет коичества жителей в отношении ко дворам (1848 г.),,,